Job Title,old description,cleaned_description,Job Description
 Dy. General Manager (asset Liability Management),"general management,business strategy,ms office,asset liability management,treasury management,credit,alm,market risk management",general management business strategy ms office asset liability management treasury management credit alm market risk management,"['influencer management', 'asset management', 'risk management', 'cloud risk management', 'risk assessment management']"
 Retail Sales Executive (female),"retail sales,customer service,sales process,profitability,cross selling,consumer behavior,sales achievement,sales executive,store management,sales executive activities,stocking",retail sale customer service sale process profitability cross selling consumer behavior sale achievement sale executive store management sale executive activity stock,"['consumer behavior analysis', 'datum analysis customer behavior', 'consumer psychology behavior analysis', 'retail sale associate', 'sale manager']"
 Computer Architecture (CSE) - Associate Professor,"counselor,mentor,trainer,advisor,teaching",counselor mentor trainer advisor teach,"['financial advisor', 'corporate trainer', 'investment advisor', 'school counselor', 'personal trainer']"
 Business Development,"cold calling,lead generation,networking,telesales,sales lead generation,account management,telemarketing,real estate,corporate sales",cold calling lead generation networking telesale sale lead generation account management telemarketing real estate corporate sale,"['marketing generation z', 'lead generation technique', 'peer networking', 'corporate attorney', 'generation firewall ngfw configuration']"
 Time Keeper,"record keeping,pf,time keeping,esi",record keeping pf time keeping esi,"['time management', 'medical record technician', 'electronic health record ehr']"
 Perimeter Security Specialist,"routing,bluecoat,checkpoint,switching,nokia firewall,vpn,sonicwall,proxy,remote access,tcp",route bluecoat checkpoint switching nokia firewall vpn sonicwall proxy remote access tcp,"['secure remote access vpn', 'vpn', 'vpn technology', 'firewall management', 'vpn tunnel configuration']"
 Electrical Engineer for Consumer Dureble Co- PAN India,"engineer,electrical maintenance,electrical engineering,electronics engineering",engineer electrical maintenance electrical engineering electronics engineering,"['electrical engineer', 'datum engineering', 'network traffic engineering', 'nuclear engineer', 'social engineering testing']"
 Looking for Jr/sr/lead US Recruiter (pharma/clinical/it/non-it) Manyat,"us recruitment,us staffing,c2c,us it recruiter",recruitment staffing recruiter,"['recruiter', 'recruitment analysis']"
 Huge Requirement 4 Banking Process / UK Shift / Sal upto 3.5lpa,"finance,debit,banking process,salary,uk shift,fresher,international voice,customer service,client servicing,analyst,international call center,international bpo",finance debit banking process salary uk shift fresher international voice customer service client servicing analyst international center international bpo,['multi lingual international marketing']
" Success Factors Compensation Consultant.(3 Yrs - 8Yrs) For Blr,HYD,Mum",integration,integration,"['datum integration', 'api integration', 'crm integration management', 'sensor integration', 'power bi integration']"
 Telecalling / Telecounselling Executive,"digital marketing,web marketing,student counseling,web technologies",digital marketing web marketing student counseling web technology,"['digital marketing', 'web scrape', 'omnichannel marketing', 'emotional marketing', 'storytelle marketing']"
 Opportunity for Position of Java (middle/ Senior) for Chennai Location,"hibernate,spring security,spring boot,java,spring mvc,javascript,eureka,react.js,open source,apache",hibernate spring security spring boot java spring mvc javascript eureka open source apache,"['apache nifi', 'apache superset', 'apache flink', 'security header', 'blockchain security']"
 IIM - MBA Mandate - General Manager / Director FP&A,"mba finance,fpa,financial planning,corporate finance,budgeting",mba finance fpa financial planning corporate finance budget,"['decentralize finance defi', 'budget', 'sentiment analysis finance', 'marketing budget management', 'datum science finance']"
Automation Engineer,"jenkins,maven,java,github,api testing,test reporting,automation framework,automation testing,selenium,agile development",jenkin maven java github api testing test reporting automation framework automation testing selenium agile development,"['unit testing test automation', 'api testing', 'automation', 'devsecop automation', 'hypothesis testing']"
 Urgent Hiring For Accounts Manager// Hyderabad/bangalore,"team management,client management,it staffing,it recruitment,accounting,service delivery,account management,client engagement",team management client management staff recruitment accounting service delivery account management client engagement,"['influencer management', 'market client', 'stakeholder engagement', 'client rendering', 'project management']"
 PHP Developer,"web development,html,wordpress,joomla,php mysql,client server,design and development,web based applications,php developer,knowledge",web development html wordpress joomla php mysql client server design development web base application php developer knowledge,"['web development html', 'php', 'web developer', 'web scrape', 'joomla']"
 sysOps Engineer Merck Sigma Aldrich ITC,"tomcat,ms sql,coding,javascript,windows,vb,microsoft,analytics,python,firewall",tomcat ms sql code javascript window vb microsoft analytic python firewall,"['firewall management', 'microsoft sql server', 'code modularity reusability', 'code refactoring', 'firewall configuration']"
 Engineer - DMS,"gis,training,networking,json,unit testing,dms,distribution network,python,scada,data extraction",gis training networking json unit testing dms distribution network python scada datum extraction,"['scada', 'big datum geographical information system gis', 'network performance testing', 'json', 'bayesian network']"
 Technical Architect Mobile,"jquery,linux,xml,mysql,php,html,windows,seo,ajax,android",jquery linux xml mysql php html window seo ajax android,"['watch window', 'php', 'linux', 'android development', 'mysql']"
 Sr. ENVIRONMENT ENGINEER,"administration,remediation,visual basic,network analysis,litigation,system design,management,operations,ms office word,environmental engineering",administration remediation visual basic network analysis litigation system design management operation ms office word environmental engineering,"['environmental engineer', 'environmental consultant', 'network traffic engineering', 'network analysis', 'environmental technician']"
" Medical Coding Freshers Jobs - Micro bio ,zoology, Biology etc.","biotechnology,microbiology,nursing,lab technician,biomedical,nutrition,biochemistry,pharmacy,life sciences,zoology",biotechnology microbiology nursing lab technician biomedical nutrition biochemistry pharmacy life science zoology,"['pharmacy technician', 'veterinarian technician', 'computer technician', 'biomedical engineer', 'nursing assistant']"
 Am/manager-qa Validation: Prominent Pharma Turnkey Project Design Co.,"validation,equipment qualification",validation equipment qualification,"['datum comparison validation', 'datum validation', 'cross validation', 'datum entry validation', 'datum validation rule']"
 Urgent Hiring For MIS || Location- Delhi,"ms excel,mis excel,mis,ms office,microsoft excel",ms excel mis excel mis ms office microsoft excel,"['regular expression excel', 'excel', 'microsoft excel google sheet', 'excel table datum management', 'excel proficiency']"
 Urgent Hiring For Fresher Executive,"help desk,customer service,data analysis,customer relationship,access controls,technology,asset management,intellectual property,vendor management,crm",help desk customer service data analysis customer relationship access control technology asset management intellectual property vendor management crm,"['customer relationship management crm', 'asset management', 'data lake management', 'vendor analysis', 'relationship management']"
 Immediate openings for Dotnet developer with product based company,"stored procedures,asp.net,mvc,object oriented programming,sql server",store procedure mvc object orient programming sql server,"['store procedure', 'object orient programming oop', 'sql programming', 'object orient design ood', 'microsoft sql server']"
 Admissions Counselor - Gurgaon,"overseas education,visa counselling",overseas education visa counselling,"['big datum education', 'datum science education training']"
 Assistant Manager - FP & A,"tableau,financial projections,excel,query management,budgeting,powerpoint,forecasting,financial modelling,monitoring,sql",tableau financial projection excel query management budgeting powerpoint forecasting financial modelling monitoring sql,"['budgeting financial analysis', 'revenue projection', 'tableau', 'tableau', 'tableau']"
 Quality Engineers Requirement at MNCs in Chennai,"cnc machines,cnc programming,quality,production,cnc,cnc machine operator,manufacturing,maintenance,mechanical engineering,quality assurance,quality engineering,quality control",cnc machine cnc programming quality production cnc cnc machine operator manufacturing maintenance mechanical engineering quality assurance quality engineering quality control,"['quality control', 'quality assurance', 'datum quality assurance', 'datum quality', 'datum analysis quality control']"
 Team Manager Operations Opening with a MNC BPO in Chennai,"team management,team leading,night shift,power point presentation,ms office,operations management",team management team lead night shift power point presentation ms office operation management,"['team network', 'red team blue team exercise', 'presentation skill', 'datum presentation', 'influencer management']"
 Immediate Openings on .Net @ Hyderabad,"jquery,asp net,.net,web services,sql",jquery asp web service sql,"['web scrape', 'sql', 't sql transact sql', 'sql querying', 'sql']"
 Clinical Research Associate Walkin Interview,"ich - gcp guidelines,clinical research,clinical data management,clinical trials,research associate,clinical research associate",ich gcp guideline clinical research clinical datum management clinical trial research associate clinical research associate,"['clinical research coordinator', 'big datum clinical research', 'big datum clinical trial', 'clinical dietitian', 'clinical nurse specialist']"
 Executive ?? Business Development,"senior management,presentation skills,business development,implement,monitoring,tracking,marketing plans",senior management presentation skill business development implement monitoring tracking marketing plan,"['presentation skill', 'sale funnel tracking', 'project plan', 'network resilience plan', 'performance tracking']"
 Mgr/sr Mgr -product Development (domestic Hotel)with Travel MNC -noida,"product marketing,product management,pmt,hotel operations,packages,product development,product manager,product planning,hotel contracting,brand management,promotion",product marketing product management pmt hotel operation package product development product manager product planning hotel contracting brand management promotion,"['product manager', 'product development planning', 'datum analysis product development', 'product pricing analysis', 'brand manager']"
 Inside Sales Executive,"crm,networking,consulting,staffing,service quality,inside sales executive,business opportunity,manager technology,crm executive,management",crm networking consulting staffing service quality inside sale executive business opportunity manager technology crm executive management,"['crm software', 'customer relationship management crm', 'crm integration management', 'sale manager', 'peer networking']"
 Senior Software Engineer- C# Dot Net,"team lead,dot net developer,c# developer,mvc,wcf",team lead dot net developer c developer mvc wcf,"['web developer', 'mobile app developer']"
 Business Developer Responsibilities,"sales,subject matter expert,research",sale subject matter expert research,"['market research', 'research assistant', 'user research', 'market research analysis']"
 Medical Representative / BDE,"dermatology,medical representative,pharma,doctor,sales",dermatology medical representative pharma doctor sale,"['pharmaceutical sale representative', 'medical illustrator', 'medical coder']"
 Financial Planning,"financial services,financial planning,analytics,risk management,fixed income,operations,mutual funds,equity,legal,finance",financial service financial planning analytic risk management fix income operation mutual fund equity legal finance,"['financial analytic', 'datum analysis financial planning', 'financial manager', 'financial analyst', 'risk management']"
HR Analytics,"hr analytics,people analytics,sas,python",hr analytic people analytic sas python,"['prescriptive analytic', 'business analytic', 'influencer marketing analytic', 'web analytic', 'datum analytic']"
 Retail Sales Lenovo Laptop - ISD - Chennai,"retail sales,promotions,brand promotion,sales promotion",retail sale promotion brand promotion sale promotion,"['cross promotion partnership', 'retail sale associate', 'emotional marketing brand emotion', 'brand manager', 'brand strategy']"
 Hiring for Bancassurance - Aditya Birla sun life Insurance,"sales management,direct sales,telemarketing,outbound sales,direct marketing,sales marketing,marketing executive,sales officer,insurance sales,agency manager,telesales,unit sales manager",sale management direct sale telemarketing outbound sale direct marketing sale marketing marketing executive sale officer insurance sale agency manager telesale unit sale manager,"['sale manager', 'sale analysis', 'gamification marketing', 'storytelle marketing', 'influencer marketing']"
 Second Line Manager,"marketing executive,distributors,customer profiling,sales strategy,business development executive,sales executive,market research,business development,sales executive",marketing executive distributor customer profiling sale strategy business development executive sale executive market research business development sale executive,"['marketing strategy development', 'executive reporting', 'executive assistant', 'market research', 'customer persona development']"
 AVP / DVP NPS Program Lead,"nps,customer experience,analytics",nps customer experience analytic,"['omnichannel customer experience', 'prescriptive analytic', 'user experience design', 'business analytic', 'influencer marketing analytic']"
SAP TM Transportation Management – Developer,"sap,flex,scm,order management,logistics,business process,outsourcing,operations,transport management,freight",sap flex scm order management logistic business process outsourcing operation transport management freight,"['influencer management', 'transport layer security tls', 'sap']"
 Male Cashier/ Female Sales Upselling at Intl. Airport Mumbai,"retail sales,fashion retail,airport",retail sale fashion retail airport,"['retail sale associate', 'big datum retail', 'fashion designer', 'big datum retail analytic', 'fashion merchandiser']"
 .Net Developer,"c#,mvc,.net,sql,angularjs,oops",sql angularjs oop,"['sql querying', 'sql', 't sql transact sql', 'sql', 'object orient programming oop']"
 Principal Learning System Admin,"project management,php,sql,data management,database design,workflow,veritas,business intelligence,troubleshooting,python",project management php sql datum management database design workflow verita business intelligence troubleshooting python,"['datum science workflow management', 'database management', 'business intelligence', 'database management system sql', 'datum analysis workflow']"
 Business Analyst Corporate,"project management,project planning",project management project planning,"['project management', 'project management', 'project manager', 'project management tool', 'project budgeting']"
 Account Delivery Manager,"it services,erp,agile,presales,cmmi,application development,investment banking,troubleshooting,sdlc,financial services",service erp agile presale cmmi application development investment banking troubleshooting sdlc financial service,"['secure sdlc', 'investment manager', 'investment analyst', 'agile software development', 'investment advisor']"
 Senior Officer,"automation,mis,data analytics,change management,analytical,customer service,ms office,ifrs,capacity planning,process management",automation mis datum analytic change management analytical customer service ms office ifrs capacity planning process management,"['change management', 'network capacity management', 'network capacity planning tool', 'datum analytic', 'network change management']"
 Dot net developer,"six sigma,c,python,assembly language,pmp,javascript,.net,html,oracle,sql",sigma c python assembly language pmp html oracle sql,"['metaquote language', 'oracle', 'datum query language sql', 'python', 'html']"
 Java Developer - Application Designing,"awt,swing,jdbc,java,swt,maven,ant,gradle,rest,spark",awt swing jdbc java swt maven ant gradle rest spark,"['gradle', 'spark', 'spark', 'maven', 'rest']"
 PHP Developer,"css,mysql,javascript,php,html,json,mvc,jquery,codeigniter,ajax",css mysql javascript php html json mvc jquery codeigniter ajax,"['json', 'css', 'css', 'css preprocessor', 'php']"
Job Description,body shop,body shop,[]
 Sales Executive- Colours/dyes and Pigments,"senior sales executive,sales engineer,sales executive activities,sales executive",senior sale executive sale engineer sale executive activity sale executive,"['sale manager', 'sale analysis', 'nuclear engineer', 'executive reporting', 'sale funnel optimization']"
 Internet Researcher,"internet research,research analyst,research executive,web research,research associate,internet researcher,web researcher",internet research research analyst research executive web research research associate internet researcher web researcher,"['market researcher', 'market research', 'market research analyst', 'user experience researcher', 'research assistant']"
 Radiographer,"cmo,resident medical officer",cmo resident medical officer,"['medical illustrator', 'medical coder', 'chief financial officer']"
 Sales Coordinator - Female,"customer retention,data management,sales coordinator,customer development",customer retention datum management sale coordinator customer development,"['datum analysis customer retention', 'customer retention analysis', 'customer retention strategy', 'customer persona development', 'marketing coordinator']"
 Hiring For Laravel Developers,"css,ux,web technologies,mysql,javascript,php,redis,html,web application development,laravel",css ux web technology mysql javascript php redi html web application development laravel,"['web development html', 'redi', 'redi', 'web scrape', 'laravel']"
 National Consultant- Direct Benefit Transfer Lead/ Social Protection S,data management,datum management,"['datum partition', 'datum preprocesse', 'datum stewardship', 'datum masking tokenization', 'datum lake']"
" Manager - IT , LMS 2.0","back office,operations,project planning,lms,technology management,retail lending,translation,servicing,corporate,auditing",office operation project planning lm technology management retail lending translation servicing corporate auditing,"['auditing error tracing', 'big datum language translation', 'datum auditing', 'project management', 'project management']"
 Hindi Voice Process,"pivot table,excel,email,vlookup,chat,lookup,non - voice,hlookup",pivot table excel email vlookup chat lookup non voice hlookup,"['pivot table slicer timeline', 'pivot table', 'vlookup hlookup', 'lookup function vlookup', 'pivot table calculate field item']"
 Administrative Executives,"customer service,help desk,information,telephony support,customer relationship,access controls,vendor management,asset management",customer service help desk information telephony support customer relationship access control vendor management asset management,"['customer support', 'asset management', 'customer relationship management crm', 'relationship management', 'big datum access control management']"
 Marketing Director,"marketing strategy,campaigns,digital marketing,marketing communication,b2b marketing,events,go - to - market strategy,pr",marketing strategy campaign digital marketing marketing communication marketing event market strategy pr,"['marketing strategy development', 'omnichannel marketing', 'storytelle marketing', 'influencer marketing', 'podcast marketing']"
 Urgent Opening In MNC For Recruiter/sourcing Specialist,"it recruitment,hiring,recruitment,sourcing,human resource,talent acquisition,staffing",recruitment hiring recruitment source human resource talent acquisition staff,"['human resource management', 'human resource manager', 'human resource coordinator', 'recruitment analysis', 'talent management']"
 Human Resources Administrator,"administration,hr manager,hr,human resource manager,human resource",administration hr manager hr human resource manager human resource,"['human resource manager', 'human resource management', 'human resource coordinator', 'resource planning', 'manager']"
 Technical Solutions Consultant - ISS L1,"networking,linux,troubleshooting,windows,san,it services,iscsi,iss,analytical,psp",networking linux troubleshooting window san service iscsi iss analytical psp,"['san', 'watch window', 'peer networking', 'linux']"
 DotNet- Developer,"analytics,manager quality assurance,xml,javascript,xslt,ajax,release management,jquery,software developer ii,oracle sql",analytic manager quality assurance xml javascript xslt ajax release management jquery software developer ii oracle sql,"['quality assurance', 'software quality assurance engineer', 'datum quality assurance', 'software development manager', 'prescriptive analytic']"
 Executive Assistant,analytical skills,analytical skill,"['communication skill', 'interpersonal skill', 'presentation skill', 'basic programming skill', 'online analytical processing olap']"
 Senior Consultant- Business Intelligence-tableau/sql -retail/banking,"business intelligence,tableau,sql,analytics,data analytics,sas,statistics,data modeling",business intelligence tableau sql analytic data analytic sas statistic datum modeling,"['datum analytic', 'business analytic', 'prescriptive analytic', 'data analytic big datum', 'data analytic report']"
 Clients Executive - Male/female - Gurgaon,"communication skills,customer care",communication skill customer care,"['communication skill', 'communication', 'customer persona development', 'write communication', 'cross cultural communication']"
 CAMS Jr Sol Architect,"presales,rfp,bidding,staffing,outsourcing,due diligence,service level,application management,solution architect",presale rfp bidding staffing outsourcing diligence service level application management solution architect,"['fintech solution', 'telemedicine solution', 'software architect', 'decentralize application dapps']"
 Insurance Technology Consultant- Staff,"sap,mysql,sas,analytics,risk management,base sas,ifrs,actuarial,sas management console,sas enterprise guide",sap mysql sas analytic risk management base sas ifrs actuarial sas management console sas enterprise guide,['sas']
 Revenu Assurance,"telecom,plsql,troubleshooting,asic,monitoring,revenue assurance,analytical,roaming,management,report generation",telecom plsql troubleshooting asic monitoring revenue assurance analytical roam management report generation,"['quality assurance', 'datum report']"
 HRIS Analyst - Oracle Fusion Hcm-bangalore,"hr processes,learning,excel,hcm,hris,compensation,computer science,strong interpersonal skills,oracle fusion,ms office",hr process learn excel hcm hris compensation computer science strong interpersonal skill oracle fusion ms office,"['federate learn', 'scikit learn', 'scikit learn', 'interpersonal skill', 'compensation analyst']"
Site Head RWS India,"project management,medical writing,new business development,team motivation,strategy,vendor management,clinical development,people management,customer management,scientific writing",project management medical writing new business development team motivation strategy vendor management clinical development people management customer management scientific writing,"['influencer management', 'technical writing', 'project management', 'project management', 'customer persona development']"
 Opening For Junior Design Engineer (electrical),"design engineer,cad engineer,drafting,electrical cad,design,autocad,autocad engineer",design engineer cad engineer drafting electrical cad design autocad autocad engineer,"['nuclear engineer', 'electrical engineer', 'software engineer', 'technical support engineer', 'civil engineer']"
 Wealth Management - AWM India Testing COE â€“ Testing Manager,"technology,finance,operations,human resources",technology finance operation human resource,"['human resource management', 'human resource manager', 'human resource coordinator', 'decentralize finance defi', 'resource planning']"
 Urgent Hiring for Slimming Manager in Clinic Dermatech ,"wellness,fitness",wellness fitness,['fitness instructor']
 Sterling/oms Developer - Java/j2ee,"cvs,core java,rest,jboss,weblogic,xsd,j2ee,soap,websphere mq,web services",cvs core java rest jboss weblogic xsd soap websphere mq web service,"['web service soap', 'soap', 'rest', 'web api development rest']"
 Hiring For Sales Manager-canara HSBC OBC Life Insurance-mumbai,"sales,insurance,banking",sale insurance banking,"['insurance agent', 'cyber insurance management', 'insurance underwriter', 'sale manager', 'sale analysis']"
 Angular Developer,"javascript,workflow,html,backend,front end,test scripts,agile,test driven development,css3",javascript workflow html backend end test script agile test drive development,"['testing test drive development tdd', 'backend development', 'backend development', 'data drive marketing strategy', 'workflow automation']"
 Senior HR Executive,"offer generation,interview coordination,hr mis,screening,recruitment,joining formalities,salary negotiation,employee engagement,senior hr,shortlisting,interviewing",offer generation interview coordination hr mis screening recruitment join formality salary negotiation employee engagement senior hr shortlist interview,"['datum join aggregation', 'negotiation']"
 Data Engineer: Big Data,"scrum,business analysis,agile process,big data,project execution,data cleansing,etl",scrum business analysis agile process big datum project execution datum cleansing etl,"['datum cleansing', 'big datum sentiment analysis', 'big datum geospatial analysis', 'datum ethic big datum', 'big datum project management']"
 Project Manager,"execution,liaison,project management,coordination,project documentation,scope,asp.net,budgeting,mvc,project planning,sql",execution liaison project management coordination project documentation scope budgeting mvc project planning sql,"['project budgeting', 'project management', 'project management', 'project manager', 'project management tool']"
 ReactJS Developer,"html,front end,dom,git,json,javascript,css,web technologies,translation",html end dom git json javascript css web technology translation,"['json web tokens jwt', 'jwt json web tokens', 'git', 'git', 'git']"
 Technical Writer Embedded Technology,"robohelp,excel,software development life cycle,corel draw,photoshop,powerpoint,sdlc,technical documentation",robohelp excel software development life cycle corel draw photoshop powerpoint sdlc technical documentation,"['secure sdlc software development life cycle', 'secure software development life cycle ssdlc', 'technical documentation', 'secure sdlc', 'regular expression excel']"
 Indirect Taxation-manager (only Male Candidates Prefer),"gst,indirect taxation,advisory,excel",gst indirect taxation advisory excel,"['excel', 'regular expression excel', 'big datum consulting advisory']"
 Chartered Accountant,"auditor,excel,vat,writing,time,taxation,management,tax returns,verbal,who",auditor excel vat writing time taxation management tax return verbal,"['time management', 'verbal communication', 'excel', 'regular expression excel', 'technical writing']"
 Faculty For Botany,"botany,assistant professor",botany assistant professor,"['chiropractic assistant', 'photographer assistant', 'executive assistant', 'research assistant', 'nursing assistant']"
 Water Resources Engineer,"interpersonal skills,network design,linux,hydrology,analytical,programming,matlab,fortran,python",interpersonal skill network design linux hydrology analytical programming matlab fortran python,"['fortran', 'matlab', 'interpersonal skill', 'network influencer', 'bayesian network']"
 Sales Manager- Travel / GSA/ Airlines,"hotel sales,sales management,travel,agency sales,travel agents,b2b sales,airlines",hotel sale sale management travel agency sale travel agent sale airline,"['sale manager', 'sale analysis', 'center agent', 'insurance agent', 'sport agent']"
 Node JS Developer,"basic,jquery,git,web technologies,html5,javascript,programming,json,angularjs,document management system",basic jquery git web technology programming json angularjs document management system,"['basic programming skill', 'jwt json web tokens', 'json web tokens jwt', 'git', 'git']"
 Windows Admin | Bangalore/kolkata | 6+ Yrs| C2H,"active directory services,windows system administration,active directory,windows administrator,windows admin",active directory service window system administration active directory window administrator window admin,"['active directory', 'watch window', 'window server', 'active listening', 'system administration']"
 Customer Service Executive,"customer service executive,computer science,physical education,botany,business studies,hospitality,sports,healthcare,pharmacy,hotel management",customer service executive computer science physical education botany business study hospitality sport healthcare pharmacy hotel management,"['sport agent', 'sport coach', 'datum science education training', 'big datum sport analytic', 'sport psychologist']"
 UI Designer / Developer,"javascript,development,jquery,project management,photoshop,mvc,graphics,website,interfaces,image processing,html,c,design,java,tools,css,erp,software,application,usage,developer,cloud,ui,com,bootstrap,pl,angularjs,flex,web,rf,scala,it,quality",javascript development jquery project management photoshop mvc graphic website interface image processing html c design java tool css erp software application usage developer cloud ui com bootstrap pl angularjs flex web rf scala quality,"['image processing', 'web design user interface ui market', 'big datum image processing', 'scala', 'project management tool']"
 Sr Executive - Recruiter,"talent acquisition,hiring,non it recruiter,recruitment,lateral hiring,non it,staffing",talent acquisition hiring non recruiter recruitment lateral hiring non staff,"['recruiter', 'datum presentation non technical audience', 'talent management']"
 JavaScript Developer,"focus,javascript,agile",focus javascript agile,"['agile marketing', 'javascript', 'javascript', 'agile software development', 'agile methodology']"
 Operation Executive,"usage,packaging,consultancy,scheduling,hr,recruitment",usage packaging consultancy scheduling hr recruitment,"['project scheduling', 'recruitment analysis']"
 PHP Developers,"sql,javascript,php,btech,programming,zend framework,database,jquery,xml,mysql,zend,mvc,open source",sql javascript php btech programming zend framework database jquery xml mysql zend mvc open source,"['sql programming', 'truffle framework', 'database sharding', 'secure development framework', 'database management system sql']"
 Officer / Executive Accounts,"billing,fixed assets,accounting,management,account management,accounts executive,officer executive",billing fix asset accounting management account management account executive officer executive,"['asset management', 'account manager', 'influencer management', 'account base advertising']"
 Business Development Executive/Manager- Recruitment,"hospitality,retail,recruitment executive,c,networking,relationship,business development executive,hr,research,recruitment",hospitality retail recruitment executive c networking relationship business development executive hr research recruitment,"['recruitment analysis', 'peer networking', 'relationship management', 'business networking group', 'networking strategy']"
 Customer development executive,"development,operations,music,sports,academic,startup,customer service,selling,ideas,portal",development operation music sport academic startup customer service selling idea portal,"['sport agent', 'sport coach', 'big datum sport analytic', 'sport psychologist', 'ai sport analytic']"
 Digital Content Developer,"pharma,public relations,social media,creative writing,management consulting,digital content,flex,senior management,executive search,advertising",pharma public relation social medium creative writing management consulting digital content flex senior management executive search advertising,"['social medium advertising', 'public relation manager', 'social medium management', 'medium relation', 'social medium content strategy']"
 Education Counsellor,"education,career planning,counselling,behavioural training",education career planning counselling behavioural training,"['datum science education training', 'training support', 'big datum education']"
 IT Recruiter,"salary,middle management,telephonic,it recruitment,policies,compensation,sourcing,benefits,interviewing,head hunting",salary middle management telephonic recruitment policy compensation sourcing benefit interview head hunt,"['threat hunt', 'compensation analyst', 'threat hunt technique', 'threat hunt tool technique', 'cost benefit analysis']"
 Senior Tech Lead - Full - stack,"product management,front end,database design,mysql,javascript,php,html,analytics,python,recruitment",product management end database design mysql javascript php html analytic python recruitment,"['database management', 'database sharding', 'php', 'prescriptive analytic', 'mysql']"
Spot Offer only 2 Rounds Accounts Payable & Receivabale Hyderabad,"accounting,accounts payable,accounts receivable,general ledger,general accounting,balance sheet,reconciliation",accounting account payable account receivable general ledger general accounting balance sheet reconciliation,"['account manager', 'combine datum multiple sheet']"
 Selenium Testers,"assembly language,six sigma,pmp,c,javascript,.net,html,oracle,python,sql",assembly language sigma pmp c html oracle python sql,"['metaquote language', 'oracle', 'datum query language sql', 'python', 'html']"
 Graphics Designer/GUI Developer,"graphics,psd,jquery,coding,html5,wordpress,html,photoshop,business executive,css3",graphic psd jquery code html photoshop business executive,"['code modularity reusability', 'code refactoring', 'graphic design', 'html', 'code optimization']"
 Computer/ IT / (fresher/ Exp) Technical Support Role- US IT Healthcare,"java,tomcat,core java,advanced java,networking,linux,technical support,mysql,routing,switching,sql",java tomcat core java advance java networking linux technical support mysql route switching sql,"['java', 'advance formula', 'advance sql query optimization big datum', 'route switch', 'network route optimization']"
 Lead Generation Executive,"b2b,lead generation,sales,inside sales",lead generation sale inside sale,"['marketing generation z', 'lead generation technique', 'sale manager', 'sale analysis', 'sale funnel optimization']"
 WordPress Expert / PHP MySQL,"mysql,wordpress,php,wordpress cms,css,software,database design,cms,information technology,javascript,computer science,oop,database,design,html,open source,email",mysql wordpress php wordpress cms css software database design cms information technology javascript computer science oop database design html open source email,"['wordpress', 'database sharding', 'database management', 'content management system cms', 'experiment design']"
 Procurement Manager,"global procurement,strategic sourcing,purchase,project management,project procurement,supplier selection,supplier management,contract management,negotiation skills,supplier evaluation",global procurement strategic sourcing purchase project management project procurement supplier selection supplier management contract management negotiation skill supplier evaluation,"['supplier management', 'supplier performance evaluation', 'project management', 'project management', 'model evaluation selection']"
Content Manager-analyst,"digital marketing,content management,web content management,content editing,cms,aem,seo",digital marketing content management web content management content editing cms aem seo,"['content marketing', 'content management system cms', 'datum analysis content strategy', 'content delivery network cdns', 'content security policy csp']"
" Marketing Executive, Business Development Executive,tele","business development,sales,exhibitions,telemarketing",business development sale exhibition telemarkete,['cryptocurrency development']
 Hiring &quot;IT Risk&quot; Professional for Bangalore Whitefield,"compliance,it risk,risk management,risk assessment,iso 27001",compliance risk risk management risk assessment iso,"['risk management', 'risk assessment management', 'cybersecurity risk assessment', 'risk assessment', 'security risk assessment']"
 Hiring For SAP Abap+ui5/fiori+webdynpro+odata ,"html,javascript,css,jquery,json,web development,html5,mvc,xml,eclipse",html javascript css jquery json web development xml eclipse,"['jwt json web tokens', 'json web tokens jwt', 'web development html', 'json', 'css']"
 UI Developer,"css,design development,html5,ui development,javascript,html,jquery",css design development development javascript html jquery,"['cryptocurrency development', 'web development html', 'css', 'css preprocessor', 'css']"
 Taem Leader( Hindi),"english,team handling,team leader,team manager,voice process,verbal communication",english team handling team leader team manager voice process verbal communication,"['team network', 'red team blue team exercise', 'verbal communication', 'collaboration team communication tool', 'team capacity plan']"
 Inbound Tech Sales,"bpo,outbound,technical support,target,process,technical,inbound calls,service,business executive,comp",bpo outbound technical support target process technical inbound call service business executive comp,"['personalization target marketing', 'technical support engineer', 'adobe target', 'technical support specialist', 'technical writing']"
Excellent Opportunity as a Tech Lead with Datamatics - Mumbai,"requirement gathering,uml,design patterns,technical architecture,rational rose,software development,business analysis,.net framework,project tracking,oops,.net core,sql,azure",requirement gathering uml design pattern technical architecture rational rose software development business framework project tracking core sql azure,"['software design pattern', 'design pattern', 'azure', 'datum analysis project tracking', 'software architecture']"
 Production Manager To SET UP Organic tea Factory at Lukhnow,"production management,factory,stock management",production management factory stock management,['influencer management']
 Software Engineer - Automation,"networking,xml,android,coding,data structures,json,scrum,test cases,jira",networking xml android coding datum structure json scrum test case jira,"['datum structure', 'scrum', 'json', 'peer networking', 'android development']"
 Platform Engineer - Etl/python,"redis,webservices,distributed systems,docker,neo4j,rdbms,mysql,javascript,etl,python",redi webservice distribute system docker rdbms mysql javascript etl python,"['redi', 'redi', 't sne t distribute stochastic neighbor embed', 'docker', 'containerization docker']"
 Product Manager,"product service,training,sales training,usage,research",product service training sale training usage research,"['training support', 'security training development', 'training program development', 'datum science education training', 'security incident management training']"
